star_id ra dec
88 0.26916669775534835 -48.80985860933009
107 0.3337913430417431 -50.33738639335765
122 0.39935721641888616 -77.06530306636918
124 0.40426645781126763 61.22280804426844
145 0.4560060677002387 -3.0274697385185703
154 0.489964109832924 -6.01396974180704
171 0.5402175333269215 27.084502475547264
183 0.5829615243227123 -29.720441973039602
194 0.6240071898796835 8.48558580075951
207 0.6503522319198889 66.09897468709448
301 0.9348796229477958 -17.335969784972256
330 1.0569336381134815 62.28766909204991
343 1.0823380401331146 -16.528886465977703
355 1.125505326637137 -10.509497581289398
377 1.1718647501301123 -71.43685869691403
379 1.174352943227721 67.16639130284517
418 1.2755582306548312 61.31397462632107
443 1.3339641362037706 -5.707830934927111
476 1.4247576921961835 13.396280167330637
522 1.5777499074160688 -49.075080958713
531 1.6105596030062903 64.19616903808344
655 2.0146693083307716 -33.52933100144932
677 2.096551152734214 29.0908356571934
729 2.259758211216893 18.21203008562962
746 2.292057444269589 59.15022452690414
761 2.3375867044209016 -27.98791436645547
765 2.352250585575319 -45.74699770122896
813 2.509090804300154 11.145807838915474
814 2.5094234429277926 -82.22399771667487
840 2.578547510057324 -5.248525501248381
841 2.5801788787462776 46.07228005414702
873 2.67813010254224 -12.579803288825074
910 2.816296465663147 -15.467331080209714
930 2.8934200497802034 -27.799775532255186
950 2.9328773853929317 -35.13338664725665
983 3.041462864050075 -17.938219991301395
1067 3.308966231706246 15.183613315609888
1074 3.3314000170908455 -84.99402557550032
1086 3.3789279603659708 41.03572441980286
1158 3.6149639188728524 -7.780525603562435
1168 3.6504667841128353 20.206696615142327
1170 3.6601294135212843 -18.932692274704277
1191 3.7270887367808996 -9.569553392452319
1288 4.036627880375191 -31.44633120094988
1354 4.237725206052806 61.53319655683763
1366 4.273094258618665 38.68166877554085
1372 4.287679348032443 47.947418774089684
1473 4.582135631990294 36.785335411428285
1493 4.659259865534088 31.51722429262642
1562 4.857005472868821 -8.823831282665342
1599 5.007952480318673 -64.8776090755254
1630 5.101634795677871 30.935613137330336
1645 5.149423852825764 8.190252021438575
1647 5.162657592170285 -69.62491464655298
1657 5.189760072044303 32.911224239624865
1686 5.280135838255266 37.96869645280044
1708 5.379919848253612 -28.98130355719421
1728 5.442629264385064 -20.057998007922613
1921 6.065180410547002 52.019918596231406
1960 6.197892133098039 61.831057471764595
1982 6.276639032512255 53.046779686056844
2006 6.3509232233109 1.939724123017179
2021 6.413314159833209 -77.25502588327214
2072 6.550500841443924 -43.67991478599414
2081 6.57029276679738 -42.30510923243531
2210 6.982127597390015 -33.00705371847884
2219 7.011841565410133 17.893085167405243
2225 7.056637036319263 44.394501829540836
2240 7.110084843879254 -39.914887064756535
2353 7.509797625802807 -3.9573037719166866
2355 7.530593016150068 29.7516962259744
2381 7.594462131934225 -23.787720447171782
2383 7.608208188719299 -48.21469267078896
2472 7.853583043959519 -48.803553806814385
2475 7.856718559510746 33.581696192867575
2484 7.88566162149031 -62.95808158785192
2487 7.888994951004852 -62.96544269930177
2497 7.921722377507418 52.83955729737317
2505 7.943014532868442 54.52233507298677
2548 8.098965405526622 6.955446168238835
2568 8.147508517134396 20.29444616329995
2578 8.18245323441206 -63.03138717359027
2599 8.249976109299357 62.93177948620425
2661 8.421086383423617 -29.55819275344708
2711 8.61508211312078 -52.37319277322486
2762 8.811005993820102 -3.5927483487736334
2802 8.92137486064603 -48.00066502671203
2854 9.034556138092805 54.1684460728349
2876 9.113933309554275 60.32622384249817
2900 9.193637118029516 44.48850161212459
2903 9.197132956925271 15.23175161176679
2912 9.220176939695522 33.71936272052074
2920 9.242806065708443 53.896946051539196
2941 9.33246198872437 -24.767220624302816
2942 9.33846886218687 35.3995015973049
3031 9.63959299188772 29.312362677571546
3083 9.79122154042006 49.354584884246066
3092 9.831676540421094 30.86122376898471
3093 9.842050313963803 21.25136265680922
3138 9.981467004239603 21.438557086945053
3170 10.102746387200744 -59.45569292551011
3179 10.126640266681916 56.537418183147444
3193 10.17658924641293 -4.351804044207185
3231 10.280011209441364 39.45866816738574
3245 10.331583575482206 -46.084998504583886
3277 10.442914121838403 -56.50144296047896
3299 10.514353029962864 66.14761258772721
3300 10.516180183728178 50.51252925420553
3330 10.617910102885931 -65.46813742293348
