col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23 col24 col25 col26 col27 col28 col29 col30 col31 col32 col33 col34 col35 col36 col37 col38 col39 col40 col41 col42 col43 col44 col45 col46 col47 col48 col49 col50 col51 col52 col53 col54 col55 col56 col57 col58 col59 col60 col61 col62 col63 col64 col65 col66 col67 col68 col69 col70 col71 col72 col73 col74 col75 col76 col77 col78
H 301 "" "00 03 44.37" "-17 20 09.5" 4.55 "" G 0.93488487 -17.33597002 "" 14.31 28.57 -7.28 0.9 0.42 0.92 1.09 0.42 0.03 0.21 0.07 -0.4 0.2 0.01 0.19 -0.21 0.05 -0.09 0 0.11 301 4.492 0.002 4.539 0.002 "" -0.047 0.003 G -0.03 0.02 A "" 4.5366 0.0005 0.005 139 "" 4.53 4.55 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225132 "B-18 6417" "" "" -0.03 B9IVn 4
H 330 "" "00 04 13.66" "+62 17 15.6" 5.9 "" H 1.05693212 62.2876646 "" 0.89 -0.99 -0.37 0.39 0.45 0.58 0.45 0.5 -0.18 0.14 0.3 0.19 -0.05 0.03 -0.02 0.02 0.24 -0.18 1 -1.57 330 6.215 0.003 5.927 0.003 "" 0.274 0.004 T 0.31 0.01 L "" 5.9712 0.0005 0.006 137 "" 5.96 5.98 "" C "" "" 00042+6217 I 2 1 "" "" "" "" "" "" "" "" "" S "" "" 225180 "B+61 2586" "" "" 0.29 A1III X
H 343 "" "00 04 19.76" "-16 31 44.0" 5.78 "" G 1.08233885 -16.52888969 "" 11.29 53.77 -60.27 0.84 0.42 0.92 1.34 0.42 0.15 -0.03 0.08 0.21 0.16 0.25 0.02 -0.26 0.04 -0.05 3 1.13 343 7.193 0.005 5.898 0.003 "" 1.084 0.007 G 1.05 0.01 H "" 5.9563 0.0007 0.007 130 "" 5.95 5.97 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225197 "B-17 6868" "" "" 1.05 K0III 4
H 355 "" "00 04 30.12" "-10 30 34.2" 4.99 1 H 1.1255098 -10.50949443 "" 2.03 -6.49 -11.88 0.7 0.47 0.93 1.19 0.49 0.42 -0.09 -0.06 0.03 -0.06 0.44 -0.13 -0.4 0.21 0.34 0 -0.12 355 7.081 0.005 5.129 0.003 "" 1.619 0.005 T 1.64 0.01 L "" 5.0996 0.0009 0.008 137 "" 5.09 5.11 "" M "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225212 "B-11 6194" "" "" 1.68 K3Ibvar X
H 377 "" "00 04 41.25" "-71 26 12.7" 5.59 "" H 1.17188841 -71.43685835 "" 5.7 30.0 -13.62 0.45 0.41 0.53 0.5 0.41 0.01 0.16 -0.2 0.05 0.1 -0.1 0.08 -0.03 -0.03 0.1 1 0.49 377 5.456 0.002 5.571 0.003 "" -0.1 0.003 T -0.08 0.0 L "" 5.5635 0.0007 0.008 138 "" 5.55 5.58 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225253 "" "" "P-72  2800" -0.1 B8III X
H 379 "" "00 04 41.84" "+67 09 59.0" 5.68 "" H 1.17432297 67.16638761 "" 10.3 95.58 23.8 0.42 0.45 0.58 0.48 0.45 -0.04 0.1 0.26 -0.1 -0.06 -0.07 -0.02 -0.03 0.2 -0.09 0 -0.24 379 7.033 0.005 5.802 0.004 "" 1.051 0.005 T 1.02 0.0 L "" 5.8511 0.0006 0.006 131 "" 5.84 5.87 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225216 "B+66 1679" "" "" 1.02 K1III S
H 418 "" "00 05 06.13" "+61 18 50.3" 5.8 "" H 1.27555231 61.31396468 "" 4.5 14.29 2.24 0.41 0.43 0.56 0.44 0.48 -0.24 0.15 0.12 0.23 -0.19 -0.09 -0.13 0.06 0.23 -0.24 0 0.57 418 5.704 0.003 5.783 0.003 "" -0.067 0.004 T -0.04 0.0 L "" 5.7814 0.0005 0.006 132 "" 5.77 5.79 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 225289 "B+60 2667" "" "" -0.05 B8MNp... X
H 443 "" "00 05 20.15" "-05 42 28.2" 4.61 "" G 1.33394073 -5.70783255 + 25.38 -8.29 88.19 1.26 0.73 1.05 1.64 0.52 -0.13 0.07 -0.37 -0.08 -0.14 0.39 0.0 -0.26 0.22 0.01 0 1.45 443 5.958 0.003 4.738 0.002 "" 1.029 0.037 G 1.04 0.02 A "" 4.7803 0.0005 0.005 91 "" 4.77 4.79 "" "" "" "" "" "" "" 1 O "" "" "" "" "" "" "" "" S "" "" 28 "B-06 6357" "" "" 1.04 K1III X
H 476 "" "00 05 41.94" "+13 23 46.6" 5.55 "" H 1.42473238 13.39628227 "" 8.75 42.59 -6.51 0.62 0.45 0.8 0.68 0.54 0.51 -0.19 -0.11 -0.07 -0.06 0.07 -0.07 -0.07 0.12 0.63 0 -1.72 476 6.68 0.003 5.646 0.002 "" 0.901 0.001 G 0.87 0.03 E "" 5.7076 0.0004 0.005 147 "" 5.7 5.72 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 87 "B+12 5063" "" "" 0.87 G5III S
H 522 "" "00 06 18.66" "-49 04 30.3" 5.7 "" H 1.5777634 -49.07509405 "" 39.0 575.21 -39.94 0.41 0.42 0.64 0.49 0.53 -0.17 -0.1 -0.03 -0.19 0.04 0.11 0.06 -0.05 -0.1 -0.22 2 0.31 522 6.319 0.002 5.763 0.002 "" 0.519 0.011 G 0.58 0.02 A "" 5.8163 0.0007 0.007 208 "" 5.8 5.83 "" "" "" "" 00063-4905 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 142 "" "C-49 14337" "P-49 11858" 0.58 G1IV... X
H 531 "" "00 06 26.53" "+64 11 46.2" 5.57 "" H 1.61052855 64.19616859 "" 3.32 9.7 0.01 0.41 0.42 0.54 0.5 0.42 -0.13 0.2 0.22 0.24 -0.13 -0.19 -0.05 0.05 0.14 -0.16 0 -0.76 531 5.534 0.002 5.564 0.003 "" -0.023 0.003 T 0.0 0.0 L "" 5.5684 0.0008 0.006 127 "" 5.56 5.58 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 144 "B+63 2107" "" "" -0.01 B9III X
H 655 "" "00 08 03.52" "-33 31 45.6" 5.67 "" G 2.01465535 -33.52933371 "" 10.02 -42.75 3.15 0.59 0.42 0.71 0.6 0.51 0.06 0.02 -0.02 -0.47 0.07 0.09 0.12 -0.04 0.14 0.0 0 -0.82 655 7.1 0.004 5.786 0.003 "" 1.119 0.001 G 1.06 0.03 E "" 5.8385 0.0006 0.006 140 "" 5.83 5.85 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 344 "" "C-34    17" "P-34     5" 1.06 K1III 3
H 677 "" "00 08 23.17" "+29 05 27.0" 2.07 1 H 2.09653333 29.09082805 + 33.6 135.68 -162.95 0.8 0.5 0.73 0.63 0.45 0.37 0.32 -0.05 0.35 0.09 0.02 -0.16 -0.1 0.1 -0.18 2 -0.48 677 2.003 0.003 2.05 0.004 "" -0.038 0.005 T -0.1 0.03 C "" 2.0371 0.0006 0.005 79 "" 2.03 2.05 "" M "" "" 00083+2905 I 1 1 O "" "" "" "" "" "" "" "" S "" P 358 "B+28    4" "" "" -0.1 B9p X
H 729 "" "00 09 02.34" "+18 12 43.3" 5.57 "" H 2.2597423 18.21202529 "" 11.17 140.93 -25.57 0.58 0.42 0.72 0.58 0.47 0.29 0.2 0.0 0.03 0.06 -0.01 0.08 0.0 0.08 0.37 0 1.48 729 6.902 0.005 5.675 0.003 "" 1.043 0.003 G 0.99 0.03 E "" 5.7323 0.0006 0.005 104 "" 5.72 5.74 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 448 "B+17    7" "" "" 0.99 G9III S
H 746 "" "00 09 10.09" "+59 09 00.8" 2.28 1 H 2.29204036 59.15021814 "" 59.89 523.39 -180.42 0.36 0.42 0.56 0.41 0.48 -0.08 0.19 0.11 0.09 -0.09 -0.1 -0.05 -0.07 0.14 -0.12 0 -1.06 746 2.72 0.003 2.318 0.003 "" 0.38 0.004 T 0.4 0.03 C "" 2.3579 0.0017 0.014 130 "" 2.34 2.38 0.1 P 1 A 00092+5909 I 1 1 "" "" "" "" "" "" "" "" "" S "" P 432 "B+58    3" "" "" 0.4 F2III-IV X
H 761 H "00 09 21.02" "-27 59 16.5" 5.42 "" H 2.3375862 -27.9879039 A 14.57 72.57 -9.99 1.28 0.91 1.34 1.68 0.82 0.01 0.05 -0.03 0.16 0.01 0.22 0.0 -0.26 0.02 0.11 2 1.09 761 5.932 0.005 5.486 0.004 * 0.414 0.002 G 0.48 0.0 H * 5.51 0.0005 0.006 109 * 5.5 5.52 "" D "" "" 00093-2759 I 1 2 C "" A AB 261 1.433 0.003 0.06 0.01 S "" "" 493 "" "C-28    16" "P-28     4" 0.48 F3V 3
H 765 "" "00 09 24.54" "-45 44 49.2" 3.88 "" G 2.35224949 -45.74698836 "" 23.28 122.15 -180.13 0.78 0.62 0.98 0.86 0.79 0.04 0.14 -0.02 -0.08 -0.05 0.07 -0.04 -0.19 0.09 0.02 0 "" 765 5.187 0.003 3.993 0.002 "" 1.013 0.029 G 1.0 0.02 A "" 4.0452 0.0004 0.005 141 "" 4.04 4.06 "" "" "" "" "" "" "" 1 X "" "" "" "" "" "" "" "" S "" "" 496 "" "C-46    18" "P-46     7" 1.0 K0III X
H 813 "" "00 10 02.18" "+11 08 44.9" 5.54 "" H 2.50910252 11.14580908 "" 10.04 29.73 1.64 0.82 0.48 0.86 0.82 0.47 0.19 -0.09 0.08 -0.2 0.22 0.19 0.16 0.05 0.1 0.38 0 1.52 813 5.455 0.003 5.53 0.003 "" -0.064 0.004 T -0.04 0.0 L "" 5.5212 0.0007 0.006 76 "" 5.51 5.53 "" C "" "" 00100+1109 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 560 "B+10    8" "" "" -0.04 B9V X
H 814 "" "00 10 02.27" "-82 13 26.4" 5.29 "" H 2.50945435 -82.22399743 "" 13.45 -21.66 -20.39 0.42 0.43 0.5 0.49 0.45 0.05 0.0 -0.16 0.01 0.13 0.0 0.13 -0.05 -0.12 0.17 1 0.88 814 6.625 0.004 5.397 0.002 "" 1.049 0.002 G 0.98 0.03 E "" 5.453 0.0006 0.006 127 "" 5.44 5.46 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 636 "" "" "P-82     4" 0.98 K1/K2III 1
H 840 "" "00 10 18.85" "-05 14 54.7" 5.84 "" H 2.57853868 -5.24851713 "" 18.18 34.98 -29.01 0.77 0.49 0.92 1.07 0.56 0.26 0.1 -0.21 -0.05 -0.13 0.29 -0.05 -0.26 0.33 0.27 0 -1.19 840 7.099 0.006 5.957 0.004 "" 0.973 0.022 G 0.93 0.03 E "" 6.0072 0.001 0.007 97 "" 6.0 6.02 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 587 "B-06   11" "" "" 0.93 K1III S
H 841 "" "00 10 19.24" "+46 04 20.2" 5.01 "" H 2.58017518 46.07227117 "" 3.24 4.51 0.21 0.41 0.4 0.68 0.42 0.44 0.01 0.2 0.16 -0.22 0.16 -0.15 0.23 0.33 0.12 -0.06 1 1.23 841 5.507 0.002 5.074 0.002 "" 0.405 0.014 G 0.55 0.03 C "" 5.1174 0.0003 0.004 181 "" 5.11 5.13 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 571 "B+45   17" "" "" 0.55 F2II X
H 873 "" "00 10 42.75" "-12 34 47.3" 5.84 "" G 2.67810574 -12.57980381 "" 15.35 149.39 -38.22 0.65 0.43 0.74 0.94 0.42 0.27 0.01 0.06 0.06 0.09 0.22 0.0 -0.2 0.05 0.08 0 1.86 873 7.139 0.005 5.975 0.003 "" 1.0 0.003 G 1.01 0.03 E "" 6.0159 0.0007 0.006 131 "" 6.01 6.03 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 645 "B-13   13" "" "" 1.01 K0III 4
H 910 "" "00 11 15.91" "-15 28 02.4" 4.89 "" G 2.81628415 -15.46732287 "" 52.94 -84.2 -269.31 0.7 0.42 0.77 0.88 0.39 0.21 0.19 0.22 0.19 0.15 0.33 0.01 -0.15 0.01 -0.05 0 2.83 910 5.472 0.003 4.953 0.002 "" 0.487 0.012 G 0.59 0.02 A "" 5.0025 0.0006 0.006 107 "" 4.99 5.01 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 693 "B-16   17" "" "" 0.59 F5V 4
H 930 "" "00 11 34.42" "-27 47 59.2" 5.41 "" G 2.8934043 -27.7997782 "" 5.61 4.61 17.09 0.77 0.49 0.92 1.21 0.49 -0.02 -0.02 0.08 0.14 0.03 0.47 -0.06 -0.28 -0.09 -0.19 0 3.14 930 7.169 0.006 5.562 0.003 "" 1.346 0.001 G 1.31 0.03 E "" 5.577 0.0012 0.007 98 "" 5.57 5.59 "" "" "" "" 00116-2748 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 720 "" "C-28    26" "P-28     6" 1.31 K2III 3
H 950 "" "00 11 43.89" "-35 08 00.2" 5.24 "" H 2.93286698 -35.13339606 "" 45.85 169.01 113.75 0.52 0.42 0.66 0.62 0.5 0.25 -0.08 0.05 -0.37 0.0 0.07 0.02 -0.12 0.02 0.15 0 -2.51 950 5.766 0.002 5.292 0.002 "" 0.459 0.002 T 0.53 0.0 L "" 5.3425 0.0005 0.005 148 "" 5.33 5.35 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 739 "" "C-35    42" "P-35    16" 0.52 F3/F5V 3
H 983 "" "00 12 09.95" "-17 56 17.6" 5.29 1 H 3.04145374 -17.93821766 "" 5.33 60.48 -24.69 1.14 0.46 0.87 1.82 0.74 -0.19 0.23 -0.06 -0.7 0.39 -0.05 0.56 -0.31 0.09 -0.53 0 -0.09 983 7.214 0.006 5.445 0.003 "" 1.478 0.008 G 1.6 0.03 E "" 5.4056 0.0014 0.012 95 "" 5.38 5.42 "" U 2 "" "" "" "" 1 G "" "" "" "" "" "" "" "" S "" "" 787 "B-18   14" "" "" 1.6 K4III 4
H 1067 "" "00 13 14.15" "+15 11 01.0" 2.83 1 G 3.30895828 15.18361593 "" 9.79 4.7 -8.24 0.67 0.44 0.81 0.77 0.56 0.35 0.06 0.02 0.04 0.12 -0.01 0.11 0.3 -0.02 0.3 2 1.14 1067 2.585 0.002 2.803 0.002 "" -0.19 0.002 T -0.22 0.01 G "" 2.7544 0.0009 0.007 115 "" 2.74 2.77 0.15 P 1 A 00132+1511 I 1 1 G "" "" "" "" "" "" "" "" S "" "" 886 "B+14   14" "" "" -0.22 B2IV X
H 1074 "" "00 13 19.55" "-84 59 38.5" 5.78 1 H 3.3314522 -84.99402068 "" 4.0 10.97 17.4 0.4 0.4 0.49 0.5 0.41 0.07 0.04 -0.16 0.06 0.13 -0.08 0.11 0.01 0.01 0.15 0 -1.93 1074 8.006 0.008 5.986 0.004 "" 1.71 0.007 T 2.15 0.03 O "" 5.8488 0.0019 0.018 129 "" 5.82 5.88 "" U 2 "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 1032 "" "" "P-85     2" 1.98 M0/M1III 1
H 1086 "" "00 13 30.94" "+41 02 08.6" 5.71 1 H 3.37889713 41.03572671 "" 28.57 -122.76 -146.91 0.46 0.42 0.74 0.58 0.48 0.02 0.06 0.08 0.16 -0.07 -0.17 -0.04 0.59 -0.04 -0.01 0 -1.21 1086 6.101 0.003 5.752 0.003 "" 0.331 0.004 T 0.39 0.01 L "" 5.7891 0.0007 0.008 175 "" 5.78 5.8 "" M "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 905 "B+40   29" "" "" 0.38 F0IV X
H 1158 "" "00 14 27.59" "-07 46 49.9" 5.13 2 H 3.61496786 -7.78053784 "" 5.21 61.01 2.36 0.7 0.49 0.79 0.76 0.49 0.29 0.03 0.08 -0.13 0.02 0.06 0.01 -0.09 -0.09 0.22 0 0.76 1158 7.226 0.007 5.339 0.004 "" 1.601 0.007 T 2.24 0.03 O "" 5.1798 0.0029 0.02 66 "" 5.16 5.23 "" U 2 "" 00145-0747 I 1 1 "" "" S "" "" "" "" "" "" S "" P 1014 "B-08   26" "" "" 2.35 M3IIIvar X
H 1168 "" "00 14 36.11" "+20 12 24.1" 4.79 1 H 3.65045047 20.2066972 "" 10.01 90.66 1.88 0.61 0.45 0.77 0.68 0.54 0.27 0.09 -0.04 0.06 -0.03 -0.03 -0.01 -0.01 0.17 0.37 0 0.28 1168 6.837 0.005 4.985 0.003 "" 1.572 0.004 G 1.93 0.03 C "" 4.8756 0.0016 0.013 106 "" 4.86 4.9 "" U 2 "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 1013 "B+19   27" "" "" 1.93 M2III X
H 1170 "" "00 14 38.43" "-18 55 57.7" 4.44 2 H 3.66013628 -18.93268628 "" 6.62 -27.15 -73.78 0.72 0.43 0.82 0.85 0.41 0.13 0.15 0.05 -0.24 0.14 0.13 0.09 -0.22 -0.06 0.04 2 -0.76 1170 6.603 0.006 4.648 0.004 "" 1.64 0.044 G 1.96 0.02 A "" 4.5262 0.0031 0.03 93 "" 4.47 4.57 "" U 2 "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 1038 "B-19   21" "" "" 1.96 M1III 4
H 1191 "" "00 14 54.50" "-09 34 10.4" 5.77 1 H 3.72708897 -9.56955053 "" 9.4 22.64 -8.45 0.72 0.45 0.78 1.0 0.44 0.19 0.17 0.13 0.18 0.1 0.35 0.02 -0.14 0.04 0.07 0 0.03 1191 5.671 0.003 5.75 0.003 "" -0.084 0.005 G -0.06 0.01 H "" 5.7506 0.0013 0.01 76 "" 5.73 5.76 "" M "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 1064 "B-10   30" "" "" -0.06 B9V X
