col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23 col24 col25 col26 col27 col28 col29 col30 col31 col32 col33 col34 col35 col36 col37 col38 col39 col40 col41 col42 col43 col44 col45 col46 col47 col48 col49 col50 col51 col52 col53 col54 col55 col56 col57 col58 col59 col60 col61 col62 col63 col64 col65 col66 col67 col68 col69 col70 col71 col72 col73 col74 col75 col76 col77 col78 
H 20171 "" "04 19 26.08" "+21 08 32.7" 5.5 "" H 64.85866225 21.14241058 "" 12.2 29.49 -42.73 0.72 0.5 0.76 0.76 0.67 0.52 0.24 0.0 0.07 0.11 0.0 0.06 0.39 -0.18 0.47 0 -1.26 20171 5.402 0.003 5.483 0.003 "" -0.069 0.004 T -0.05 0.0 L "" 5.4789 0.0005 0.004 85 "" 5.47 5.49 "" C "" "" "" "" "" 1 "" "" S "" "" "" "" "" "" S "" "" 27295 "B+20  733" "" "" -0.05 B9IV X
H 20186 "" "04 19 36.69" "+21 46 24.9" 5.34 1 H 64.90286245 21.77359174 "" 10.32 29.77 -41.39 0.7 0.49 0.76 0.73 0.63 0.39 0.24 0.04 0.04 0.07 0.08 0.03 0.32 -0.08 0.38 0 -0.07 20186 5.211 0.003 5.334 0.004 "" -0.107 0.004 T -0.09 0.01 L "" 5.3085 0.0027 0.023 72 "" 5.29 5.35 1.57 P 1 A "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 27309 "B+21  623" "" "" -0.1 "A0p Si" G
H 20205 "" "04 19 47.53" "+15 37 39.7" 3.65 "" H 64.94805793 15.62770031 "" 21.17 115.29 -23.86 0.76 0.63 1.17 1.21 0.98 0.06 0.33 -0.43 0.18 -0.21 0.58 0.16 -0.08 0.53 0.67 0 -0.66 20205 4.905 0.007 3.757 0.004 "" 0.981 0.012 G 0.95 0.02 G "" 3.8123 0.0011 0.006 37 "" 3.8 3.82 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27371 "B+15  612" "" "" 0.95 G8III X
H 20219 "" "04 19 57.63" "+14 02 06.9" 5.58 "" H 64.99014508 14.03524954 "" 22.31 115.42 -19.91 0.88 0.63 0.92 0.94 0.83 0.37 0.52 0.11 -0.1 -0.23 -0.01 -0.18 -0.13 0.05 0.41 0 0.15 20219 5.919 0.004 5.609 0.005 "" 0.283 0.008 G 0.33 0.02 A "" 5.6514 0.0018 0.007 46 "" 5.64 5.66 "" "" "" "" 04200+1402 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27397 "B+13  663" "" "" 0.33 F3V... X
H 20234 "" "04 20 11.51" "+50 55 15.4" 5.55 "" H 65.0479676 50.92095135 "" 2.74 0.57 -7.56 0.6 0.47 0.75 0.78 0.7 -0.08 0.19 -0.22 0.19 -0.04 0.0 -0.07 0.4 -0.21 -0.08 0 -1.47 20234 5.503 0.003 5.542 0.003 "" -0.031 0.004 T -0.01 0.0 L "" 5.5458 0.0008 0.006 95 "" 5.53 5.56 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 27192 "B+50  973" "" "" 0.0 B1.5IV X
H 20250 "" "04 20 21.23" "+27 21 03.4" 4.97 1 H 65.08847817 27.35094069 "" 9.53 -29.04 -76.97 0.84 0.62 0.92 0.99 0.84 0.38 0.35 -0.22 -0.21 -0.3 0.05 -0.33 -0.17 -0.06 0.63 3 0.63 20250 6.437 0.005 5.079 0.003 "" 1.15 0.015 G 1.35 0.04 E "" 5.1121 0.0009 0.007 67 "" 5.1 5.13 "" M "" "" 04203+2721 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27382 "B+27  655" "" "" 1.35 K1III X
H 20252 "" "04 20 24.66" "+34 34 00.3" 4.93 "" H 65.10273351 34.56674228 "" 14.42 -24.95 -7.0 0.74 0.59 0.83 0.81 0.68 0.32 0.4 -0.06 0.19 0.15 -0.23 0.06 0.55 -0.18 0.37 0 -1.69 20252 6.133 0.004 5.032 0.003 "" 0.95 0.004 T 0.94 0.0 L "" 5.0895 0.0007 0.005 78 "" 5.08 5.1 "" "" "" "" 04204+3435 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27348 "B+34  860" "" "" 0.94 G8III X
H 20261 "" "04 20 36.24" "+15 05 43.8" 5.26 "" H 65.15101968 15.09550358 "" 21.2 108.79 -20.67 0.93 0.65 0.99 0.95 0.82 0.39 0.55 0.16 -0.16 -0.32 0.03 -0.2 -0.19 0.14 0.42 0 0.84 20261 5.543 0.004 5.286 0.005 "" 0.225 0.008 G 0.25 0.02 A "" 5.3233 0.0008 0.004 44 "" 5.31 5.33 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 27459 "B+14  682" "" "" 0.25 F0V X
H 20264 "" "04 20 39.00" "-20 38 22.6" 5.38 "" H 65.16248826 -20.63959902 "" 7.05 26.13 -9.4 0.46 0.41 0.67 0.46 0.5 -0.26 0.18 -0.08 -0.55 0.25 -0.11 0.19 -0.07 -0.1 -0.12 0 -0.26 20264 5.355 0.002 5.377 0.002 "" -0.027 0.001 G -0.01 0.0 H "" 5.3834 0.0004 0.006 210 "" 5.37 5.39 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27616 "B-20  831" "" "" -0.01 A0V 4
H 20266 "" "04 20 40.36" "+65 08 25.6" 5.26 "" H 65.16818726 65.14045287 "" 9.8 -28.52 -4.7 0.4 0.42 0.67 0.44 0.52 0.19 -0.02 -0.06 -0.36 0.11 0.09 0.1 0.12 0.13 0.28 0 -0.03 20266 6.281 0.003 5.349 0.002 "" 0.82 0.006 G 0.83 0.03 C "" 5.4103 0.0006 0.007 166 "" 5.4 5.42 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27022 "B+64  433" "" "" 0.83 G5III X
H 20268 "" "04 20 41.25" "+06 07 51.3" 5.76 "" H 65.17188935 6.13090686 "" 7.62 -13.06 -44.79 0.77 0.64 0.93 1.01 0.91 0.09 0.07 -0.37 0.19 -0.24 0.16 -0.16 -0.11 0.36 0.37 0 0.4 20268 6.924 0.008 5.861 0.005 "" 0.914 0.022 G 0.93 0.02 A "" 5.9213 0.001 0.005 49 "" 5.91 5.93 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27497 "B+05  631" "" "" 0.93 G8III-IV S
H 20271 "" "04 20 42.83" "-07 35 33.0" 5.85 "" H 65.17846608 -7.59249081 "" 4.31 4.47 -1.1 0.62 0.55 0.75 0.83 0.87 0.45 0.07 -0.1 0.3 0.17 -0.04 0.15 0.24 -0.01 0.39 0 -0.35 20271 5.688 0.003 5.83 0.004 "" -0.124 0.004 T -0.11 0.01 L "" 5.8129 0.0011 0.008 90 "" 5.8 5.83 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27563 "B-07  798" "" "" -0.11 B5III X
H 20297 "" "04 20 58.03" "-81 34 48.8" 5.78 "" H 65.24179812 -81.58022679 "" 18.61 9.07 126.08 0.39 0.48 0.49 0.4 0.63 -0.23 0.25 -0.26 -0.06 0.06 -0.05 0.1 -0.33 0.16 -0.16 0 -0.13 20297 6.202 0.003 5.809 0.003 "" 0.359 0.007 G 0.42 0.01 H "" 5.8633 0.0006 0.006 114 "" 5.85 5.87 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 29116 "" "" "P-81   115" 0.42 F0/F2III 1
H 20341 "" "04 21 27.05" "-00 05 52.3" 5.86 "" G 65.36270888 -0.09786658 "" 6.98 -19.81 -124.66 0.76 0.65 0.91 0.94 0.83 0.25 0.25 -0.33 0.16 0.1 -0.2 0.01 0.11 -0.23 0.54 0 0.87 20341 7.596 0.01 6.012 0.005 "" 1.32 0.015 G 1.31 0.04 E "" 6.0066 0.0007 0.004 55 "" 6.0 6.01 "" "" "" "" 04214-0006 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27611 "B-00  687" "" "" 1.31 K2 S
H 20354 "" "04 21 33.15" "+46 29 56.3" 4.8 1 H 65.38811942 46.4989629 "" 7.03 21.41 -34.97 0.63 0.46 0.79 0.79 0.67 0.07 0.11 -0.24 -0.01 0.18 0.0 0.0 0.46 -0.11 0.47 0 0.01 20354 4.754 0.004 4.809 0.003 "" -0.022 0.02 G 0.03 0.03 C "" 4.8094 0.0028 0.019 104 "" 4.77 4.85 2.17 P 1 A "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 27396 "B+46  872" "" "" 0.03 B4IV X
H 20376 "" "04 21 47.58" "+60 44 09.2" 5.4 1 H 65.44826292 60.73590167 "" 7.64 56.7 -113.66 0.41 0.48 0.72 0.54 0.63 0.15 0.06 -0.18 0.09 0.0 0.07 0.0 0.35 -0.02 0.17 0 -1.75 20376 7.378 0.005 5.58 0.003 "" 1.497 0.005 T 1.52 0.01 L "" 5.5234 0.001 0.01 153 "" 5.51 5.54 "" M "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27245 "B+60  800" "" "" 1.51 M0III X
H 20384 "" "04 21 53.22" "-63 23 12.5" 5.24 "" H 65.47173239 -63.38681514 "" 8.58 85.2 174.37 0.38 0.4 0.43 0.34 0.43 -0.03 0.04 -0.1 -0.35 0.12 0.04 0.1 -0.09 0.01 0.18 1 0.18 20384 6.451 0.004 5.341 0.003 "" 0.955 0.002 G 0.91 0.04 E "" 5.4 0.0008 0.006 116 "" 5.39 5.41 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28093 "" "C-63   147" "P-63   324" 0.91 G7III X
H 20400 "" "04 22 03.45" "+14 04 38.1" 5.72 "" H 65.51437351 14.07725051 "" 21.87 114.04 -21.4 0.86 0.59 0.96 0.94 0.8 0.16 0.51 -0.14 -0.1 -0.23 0.07 -0.07 -0.17 0.25 0.37 0 0.16 20400 6.102 0.005 5.752 0.004 "" 0.315 0.008 G 0.37 0.03 C "" 5.7967 0.0014 0.007 52 "" 5.79 5.81 "" "" "" "" 04220+1405 I 1 1 "" "" "" "" "" "" "" "" "" S "" P 27628 "B+13  668" "" "" 0.37 A3m X
H 20430 "" "04 22 34.93" "+25 37 45.7" 5.38 1 H 65.6455435 25.62935771 "" 12.19 20.37 -17.88 0.92 0.65 1.0 1.06 0.81 0.24 0.26 0.06 0.05 -0.15 -0.21 -0.19 0.12 -0.16 0.27 0 2.39 20430 5.339 0.003 5.373 0.004 "" -0.041 0.008 G -0.02 0.01 H "" 5.3693 0.0023 0.013 66 "" 5.35 5.39 "" U 2 "" 04226+2538 I 1 1 "" "" S "" "" "" "" "" "" S "" "" 27638 "B+25  707" "" "" -0.02 B9V X
H 20455 "" "04 22 56.03" "+17 32 33.3" 3.77 "" H 65.73344722 17.5425843 "" 21.29 107.75 -28.84 0.8 0.49 0.93 1.11 0.87 0.23 0.37 -0.09 0.17 0.01 0.39 0.08 0.36 0.25 0.43 0 1.05 20455 5.024 0.003 3.868 0.002 "" 0.983 0.01 G 0.93 0.01 G "" 3.9308 0.0005 0.003 76 "" 3.93 3.94 "" C "" "" 04229+1733 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27697 "B+17  712" "" "" 0.93 G8III X
H 20465 "" "04 23 05.66" "-24 53 31.6" 5.81 1 H 65.77358735 -24.89211883 "" 7.18 19.59 -15.64 0.32 0.46 0.7 0.34 0.5 -0.07 0.06 -0.21 -0.28 -0.07 0.13 -0.05 -0.26 0.01 -0.28 1 0.16 20465 7.796 0.005 5.985 0.002 "" 1.507 0.004 T 1.54 0.01 L "" 5.9373 0.0007 0.01 246 "" 5.92 5.95 "" U "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27881 "" "C-25  1862" "P-25   583" 1.51 K5III 4
H 20484 "" "04 23 25.00" "+16 46 38.4" 5.64 "" H 65.8541598 16.77732694 "" 21.17 105.09 -27.62 0.73 0.48 0.8 1.02 0.76 0.31 0.21 0.02 0.12 0.05 0.28 0.06 0.46 0.1 0.32 0 -0.83 20484 6.002 0.003 5.666 0.004 "" 0.31 0.006 G 0.34 0.03 C "" 5.7146 0.0006 0.004 77 "" 5.71 5.72 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27749 "B+16  586" "" "" 0.34 A1m X
H 20507 "" "04 23 40.88" "-03 44 43.2" 5.17 "" H 65.92033483 -3.74533244 "" 15.66 -47.92 -56.73 0.73 0.61 0.8 0.81 0.8 0.25 0.34 -0.17 0.39 0.17 0.03 0.14 0.31 -0.11 0.44 0 1.45 20507 5.27 0.004 5.179 0.004 "" 0.072 0.001 G 0.1 0.03 C "" 5.2039 0.0005 0.005 48 "" 5.19 5.21 "" D "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27861 "B-04  818" "" "" 0.1 A2V X
H 20522 "" "04 23 51.84" "+09 27 39.5" 5.1 "" H 65.96599009 9.46098377 "" 8.23 -21.02 -6.65 0.78 0.68 0.94 1.14 1.01 0.23 0.11 -0.33 -0.12 -0.05 0.12 -0.03 -0.05 -0.09 0.54 0 0.18 20522 5.218 0.003 5.122 0.004 "" 0.074 0.006 G 0.12 0.03 C "" 5.1431 0.0009 0.004 42 "" 5.14 5.15 "" C "" "" 04239+0928 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27820 "B+09  570" "" "" 0.12 A3V X
H 20535 "" "04 24 02.17" "-34 01 01.2" 3.97 1 H 66.00902233 -34.01698632 "" 11.95 73.77 57.57 0.41 0.45 0.59 0.46 0.52 -0.04 0.05 -0.18 0.02 -0.05 0.08 -0.02 -0.09 0.07 0.1 0 1.19 20535 5.907 0.003 4.132 0.002 "" 1.468 0.052 G 1.53 0.02 A "" 4.0941 0.0008 0.009 125 "" 4.08 4.11 "" M "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28028 "" "C-34  1664" "P-34   482" 1.53 K4III 3
H 20542 "" "04 24 05.69" "+17 26 39.2" 4.8 "" G 66.02372401 17.44421161 "" 22.36 109.99 -33.47 0.77 0.49 0.88 1.13 0.87 0.26 0.27 -0.07 0.17 0.0 0.4 0.01 0.41 0.19 0.4 2 -0.8 20542 5.008 0.002 4.821 0.003 "" 0.154 0.007 G 0.18 0.03 C "" 4.8526 0.0005 0.004 89 "" 4.85 4.86 "" C "" "" 04240+1726 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 27819 "B+17  714" "" "" 0.18 A7V X
H 20579 "" "04 24 29.14" "+34 07 51.0" 5.73 "" H 66.12141978 34.1308408 "" 5.34 20.5 -34.17 0.72 0.5 0.84 0.74 0.65 0.27 0.44 -0.08 -0.05 0.08 -0.16 -0.08 0.28 -0.29 0.4 0 0.86 20579 5.653 0.003 5.716 0.004 "" -0.054 0.004 T -0.03 0.0 L "" 5.7193 0.0007 0.005 73 "" 5.71 5.73 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27777 "B+33  853" "" "" -0.03 B8V X
H 20591 H "04 24 37.42" "+33 57 35.6" 5.77 "" G 66.15593384 33.95988843 A 24.0 54.69 -83.07 0.87 0.6 0.91 0.94 0.69 0.14 0.33 -0.09 0.0 -0.08 -0.1 -0.11 0.38 -0.34 -0.03 5 0.55 20591 6.235 0.005 5.785 0.005 * 0.4 0.019 G 0.47 0.02 H * 5.8454 0.0008 0.005 74 * 5.84 5.85 "" D "" "" 04246+3358 I 1 2 C "" A AB 21 4.302 0.016 3.84 0.12 S "" "" 27786 "B+33  854" "" "" 0.47 F4V S
H 20635 "" "04 25 22.10" "+22 17 38.3" 4.21 "" G 66.34207825 22.29398098 "" 21.27 105.49 -44.14 0.74 0.53 0.8 0.81 0.66 0.32 0.34 -0.04 0.16 0.15 -0.04 0.09 0.39 -0.16 0.31 0 1.59 20635 4.394 0.004 4.225 0.005 "" 0.136 0.004 G 0.16 0.03 C "" 4.2573 0.0008 0.006 53 "" 4.25 4.27 "" C "" "" 04254+2215 I 2 1 "" "" "" "" "" "" "" "" "" S "" "" 27934 "B+21  642" "" "" 0.16 A7IV-V X
H 20641 "" "04 25 24.94" "+22 12 00.4" 5.27 "" H 66.35393596 22.2001124 "" 22.65 112.45 -47.06 0.77 0.55 0.84 0.88 0.73 0.3 0.3 -0.03 0.12 0.16 0.0 0.12 0.36 -0.18 0.22 0 0.97 20641 5.571 0.004 5.299 0.005 "" 0.25 0.01 G 0.28 0.01 H "" 5.3388 0.0008 0.005 56 "" 5.33 5.35 "" C "" "" 04254+2215 I 2 1 "" "" "" "" "" "" "" "" "" S "" "" 27946 "B+21  643" "" "" 0.28 A7V X
H 20648 H "04 25 29.32" "+17 55 40.8" 4.3 "" G 66.37215593 17.92798917 A 22.05 108.26 -32.47 0.75 0.52 0.77 0.97 0.83 0.34 0.1 0.08 -0.02 0.05 0.25 -0.1 0.34 0.2 0.54 2 -0.74 20648 4.382 0.003 4.317 0.003 A 0.049 0.007 G 0.08 0.03 C * 4.3212 0.0006 0.004 72 * 4.32 4.33 "" D "" "" 04255+1755 I 1 2 C "" B AB 338 1.75 0.017 4.02 0.09 S "" "" 27962 "B+17  719" "" "" 0.08 A2IV X
H 20704 "" "04 26 06.26" "+31 26 21.1" 5.29 "" H 66.52607257 31.43920664 "" 13.42 76.7 -121.54 0.71 0.55 0.81 0.88 0.69 0.41 0.21 -0.21 0.21 0.23 -0.22 0.12 0.54 -0.33 0.49 0 -0.04 20704 6.539 0.004 5.392 0.003 "" 0.986 0.004 T 0.97 0.0 L "" 5.4506 0.0006 0.005 87 "" 5.44 5.46 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 27971 "B+31  776" "" "" 0.96 K1III X
H 20711 "" "04 26 18.39" "+22 48 49.3" 4.28 1 G 66.57664484 22.81369394 "" 21.07 108.66 -45.83 0.75 0.56 0.8 0.94 0.82 0.45 0.2 -0.13 -0.1 -0.08 0.19 -0.13 0.11 0.06 0.65 0 0.95 20711 4.616 0.003 4.32 0.002 "" 0.263 0.006 G 0.32 0.03 C "" 4.3556 0.0014 0.008 55 "" 4.34 4.37 "" M "" "" 04263+2249 I 1 1 "" "" "" "" "" "" "" "" "" S "" P 28024 "B+22  696" "" "" 0.32 A8Vn X
H 20713 "" "04 26 20.67" "+15 37 06.0" 4.48 "" H 66.58613217 15.6183462 "" 20.86 114.66 -33.3 0.78 0.45 0.84 0.8 0.58 0.29 0.52 0.23 0.15 -0.04 -0.05 -0.05 0.43 -0.15 -0.01 0 -0.87 20713 4.794 0.002 4.515 0.002 "" 0.262 0.011 G 0.33 0.03 C "" 4.5524 0.0006 0.006 94 "" 4.54 4.56 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" P 28052 "B+15  625" "" "" 0.33 F0V... X
H 20732 "" "04 26 36.38" "+14 42 49.9" 4.69 "" H 66.65156991 14.71385764 "" 7.17 -7.57 -31.15 0.74 0.42 0.81 0.77 0.56 0.24 0.46 0.15 0.04 0.04 0.04 -0.02 0.36 -0.23 0.03 0 0.27 20732 5.931 0.003 4.798 0.002 "" 0.979 0.004 G 0.96 0.01 G "" 4.8523 0.0005 0.004 85 "" 4.85 4.86 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28100 "B+14  697" "" "" 0.96 G8III X
H 20776 "" "04 27 02.89" "+80 49 27.2" 5.42 "" H 66.76206107 80.82421018 "" 3.48 12.94 -20.9 0.41 0.43 0.54 0.44 0.52 -0.07 0.26 0.05 0.07 0.02 0.03 0.07 0.07 0.2 -0.09 0 1.69 20776 6.928 0.004 5.534 0.002 "" 1.179 0.004 T 1.14 0.0 L "" 5.5849 0.0005 0.005 141 "" 5.58 5.59 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 26836 "B+80  133" "" "" 1.13 G6III: S
H 20789 "" "04 27 17.45" "+22 59 46.9" 5.53 1 H 66.82269876 22.99636881 "" 7.86 -0.35 -13.25 0.7 0.54 0.75 0.75 0.7 0.33 0.34 -0.05 0.18 0.26 0.01 0.15 0.51 -0.12 0.51 0 0.97 20789 5.395 0.004 5.505 0.004 "" -0.098 0.003 G -0.08 0.0 H "" 5.4969 0.0013 0.009 65 "" 5.48 5.51 "" M "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28149 "B+22  699" "" "" -0.08 B7V X
H 20804 H "04 27 28.77" "+11 12 44.4" 5.87 "" H 66.86987518 11.21233208 * 6.7 -2.51 -13.2 0.85 0.59 0.96 1.14 0.84 0.27 0.26 -0.31 -0.22 -0.16 0.07 -0.19 -0.06 -0.08 0.51 0 1.96 20804 5.922 0.004 5.874 0.004 * 0.049 0.006 T 0.06 0.01 L * 5.8946 0.0006 0.005 56 * 5.89 5.9 "" D "" "" 04275+1113 I 1 2 C S B AB 136 0.15 0.072 1.86 0.39 S "" "" 28217 "B+10  577" "" "" 0.04 B8IV X
H 20825 "" "04 27 46.04" "-62 31 16.4" 5.74 "" H 66.94184598 -62.52121428 "" 9.92 -11.73 3.5 0.46 0.5 0.51 0.41 0.53 -0.05 0.07 -0.17 -0.39 0.1 0.08 0.13 -0.33 0.16 0.11 0 -1.45 20825 7.021 0.005 5.849 0.003 "" 1.005 0.005 G 0.96 0.04 E "" 5.9026 0.0005 0.005 98 "" 5.89 5.92 "" C "" "" 04278-6231 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 28732 "" "" "P-62   357" 0.96 K0III 1
H 20842 "" "04 28 00.72" "+21 37 12.0" 5.72 "" G 67.00300662 21.62000558 "" 20.85 98.82 -40.59 0.81 0.59 0.86 0.92 0.8 0.33 0.31 -0.08 0.22 0.29 -0.04 0.22 0.56 -0.17 0.36 0 0.37 20842 6.054 0.006 5.739 0.004 "" 0.27 0.015 G 0.3 0.02 A "" 5.7887 0.0008 0.004 55 "" 5.78 5.8 "" C "" "" 04280+2137 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 28226 "B+21  647" "" "" 0.3 Am X
H 20860 H "04 28 13.30" "+83 48 27.9" 5.51 2 H 67.05539751 83.80776284 A 4.76 -4.23 11.25 0.62 0.67 0.63 0.59 0.66 0.06 0.1 0.26 0.0 0.05 0.01 0.05 -0.01 -0.07 -0.16 1 0.93 20860 5.365 0.004 5.489 0.005 * -0.106 0.005 T -0.09 0.01 L * 5.4794 0.0021 0.033 128 * 5.41 5.5 "" U 2 C 04282+8348 H 1 2 C "" A AB 68 0.422 0.01 3.16 0.06 S "" P 26356 "B+83  104" "" "" -0.1 B5V X
H 20873 "" "04 28 23.34" "+14 44 27.7" 5.9 "" G 67.0972362 14.74102599 "" 18.42 109.72 -21.27 1.79 1.1 1.93 2.34 1.63 0.21 0.19 -0.12 0.07 -0.08 -0.1 -0.13 0.27 -0.24 0.19 0 "" 20873 6.293 0.004 5.942 0.004 "" 0.325 0.013 G 0.39 0.02 A "" 5.9812 0.0007 0.005 80 "" 5.97 5.99 "" C "" "" "" "" "" 1 X "" "" "" "" "" "" "" "" S "" "" 28294 "B+14  702" "" "" 0.39 F0IV X
H 20877 "" "04 28 26.37" "+16 21 34.7" 4.96 "" H 67.10985479 16.35962902 "" 16.78 8.12 17.79 0.86 0.46 1.02 1.07 0.69 0.2 0.53 0.19 0.08 0.06 0.35 -0.11 0.18 -0.4 -0.37 0 -0.89 20877 6.438 0.004 5.092 0.004 "" 1.137 0.002 G 1.12 0.04 E "" 5.1264 0.0007 0.005 65 "" 5.12 5.13 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28292 "B+16  605" "" "" 1.12 K2IIIvar X
H 20884 "" "04 28 32.11" "+01 22 51.1" 5.53 "" H 67.13378878 1.38087416 "" 8.47 17.66 -21.97 0.89 0.94 1.11 1.15 1.29 0.22 0.25 -0.45 0.39 0.35 -0.18 0.13 0.66 -0.4 0.56 0 0.47 20884 5.398 0.004 5.517 0.005 "" -0.099 0.008 G -0.08 0.01 H "" 5.504 0.0009 0.005 43 "" 5.5 5.51 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28375 "B+01  757" "" "" -0.08 B3V X
H 20885 "" "04 28 34.43" "+15 57 44.0" 3.84 "" H 67.14346805 15.96221721 "" 20.66 104.76 -15.01 0.82 0.45 0.85 1.07 0.67 0.07 0.4 0.18 -0.2 0.12 0.14 0.13 0.13 -0.26 -0.41 0 -1.46 20885 5.054 0.004 3.947 0.003 "" 0.952 0.004 G 1.02 0.14 G "" 4.0043 0.0006 0.005 67 "" 4.0 4.01 "" "" "" "" 04286+1554 I 2 1 "" "" "" "" "" "" "" "" "" S "" "" 28307 "B+15  631" "" "" 1.02 G7III X
H 20889 "" "04 28 36.93" "+19 10 49.9" 3.53 "" H 67.15388879 19.18052092 "" 21.04 107.23 -36.77 0.69 0.51 0.82 1.02 0.8 0.31 0.06 -0.23 0.02 -0.11 0.37 -0.06 0.12 0.29 0.55 0 1.57 20889 4.834 0.004 3.647 0.002 "" 1.014 0.006 G 1.04 0.12 G "" 3.6992 0.0005 0.005 60 "" 3.69 3.71 "" C "" "" 04286+1911 I 1 1 "" "" "" "" "" "" "" "" "" S "" "" 28305 "B+18  640" "" "" 1.04 K0III X
H 20894 "" "04 28 39.67" "+15 52 15.4" 3.4 1 G 67.16531219 15.8709468 "" 21.89 108.66 -26.39 0.77 0.45 0.83 1.03 0.66 0.1 0.37 0.19 -0.14 0.1 0.18 0.1 0.15 -0.28 -0.38 0 -2.0 20894 3.648 0.003 3.429 0.003 "" 0.179 0.004 G 0.21 0.03 C "" 3.4597 0.0015 0.008 64 "" 3.45 3.47 "" M "" "" 04286+1554 I 2 1 "" "" "" "" "" "" "" "" "" S "" P 28319 "B+15  632" "" "" 0.21 A7III X
H 20901 "" "04 28 50.10" "+13 02 51.5" 5.02 "" H 67.20875444 13.04763905 "" 20.33 105.17 -15.08 0.79 0.48 0.84 0.84 0.63 0.32 0.39 0.06 0.19 0.09 -0.17 0.01 0.45 -0.22 0.28 0 -0.02 20901 5.289 0.003 5.043 0.002 "" 0.215 0.003 G 0.22 0.03 C "" 5.0849 0.0006 0.005 101 "" 5.08 5.09 "" C "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28355 "B+12  598" "" "" 0.22 A7V X
H 20922 "" "04 29 06.93" "-13 02 54.1" 5.61 2 H 67.27885535 -13.04836725 "" 2.07 0.3 -0.95 0.57 0.42 0.82 0.68 0.62 0.07 0.33 -0.06 0.31 0.19 0.14 0.12 0.41 -0.31 -0.07 0 0.76 20922 5.336 0.003 5.569 0.004 "" -0.202 0.004 T -0.21 0.01 L "" 5.5352 0.0027 0.026 133 "" 5.48 5.56 "" U 2 "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 28497 "B-13  893" "" "" -0.11 B2V:ne 4
H 20982 "" "04 30 00.60" "+83 20 24.5" 5.47 "" H 67.50249474 83.34013144 "" 10.74 -46.72 101.95 0.41 0.46 0.54 0.48 0.53 0.04 0.13 0.15 -0.03 0.16 0.21 0.13 -0.11 -0.1 0.11 0 1.5 20982 6.539 0.004 5.565 0.003 "" 0.855 0.004 T 0.87 0.0 L "" 5.6225 0.0007 0.006 130 "" 5.61 5.63 "" "" "" "" "" "" "" 1 "" "" "" "" "" "" "" "" "" S "" "" 26659 "B+82  113" "" "" 0.86 G8III X
